SKU,Brand,Category,Gender,Diameter,Atm,Case_Size,Case_Material,Case_Color,Dial_Color,Strap_Material,Strap_Color,Regular_Price
watch_0,genskne,Watch,Male,37.0,3.0,Medium,Titanium,Black,Black,Metal Bracelet,Black,1712.0
watch_1,genskne,Watch,Male,37.0,3.0,Medium,Titanium,Black,Blue,Metal Bracelet,Black,982.0
watch_2,genskne,Watch,Female,24.0,3.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Rose Gold,2355.0
watch_3,genskne,Watch,Male,37.0,3.0,Medium,Stainless Steel,Silver,Black,Leather,Black,2355.0
watch_4,genskne,Watch,Male,37.0,3.0,Medium,Stainless Steel,Silver,Blue,Leather,Black,2355.0
watch_5,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Black,Black,Metal Bracelet,Black,845.0
watch_6,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Two Tone,314.0
watch_7,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Two Tone,849.0
watch_8,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Gold,White,Metal Bracelet,Gold,645.0
watch_9,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Gold,Silver,Metal Bracelet,Silver,995.0
watch_10,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Rose Gold,Silver,Metal Bracelet,Rose Gold,785.0
watch_11,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Rose Gold,White,Metal Bracelet,Silver,795.0
watch_12,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,Black,Metal Bracelet,Silver,740.0
watch_13,genskne,Watch,Female,26.0,3.0,Small,Stainless Steel,Silver,White,Metal Bracelet,Silver,440.0
watch_14,genskne,Watch,Female,22.0,3.0,Small,Stainless Steel,Rose Gold,Black,Metal Bracelet,Black,925.0
watch_15,genskne,Watch,Female,22.0,3.0,Small,Stainless Steel,Silver,Silver,Leather,Black,845.0
watch_16,genskne,Watch,Female,25.0,3.0,Small,Stainless Steel,Rose Gold,Brown,Metal Bracelet,Rose Gold,489.0
watch_17,genskne,Watch,Female,25.0,3.0,Small,Stainless Steel,Silver,Silver,Metal Bracelet,Silver,745.0
watch_18,dasadsa,Watch,Female,40.0,10.0,Medium,Plastic,Black,Black,Silicone,Black,849.0
watch_19,dasadsa,Watch,Male,40.0,10.0,Medium,Plastic,Black,Black,Silicone,Black,849.0
watch_20,dasadsa,Watch,Male,40.0,5.0,Medium,Plastic,White,White,Silicone,White,400.0
watch_21,dasadsa,Watch,Male,42.0,5.0,Medium,Plastic,Black,LCD,Silicone,Black,899.0
watch_22,dasadsa,Watch,Male,42.0,5.0,Medium,Plastic,Blue,LCD,Silicone,Blue,695.0
watch_23,dasadsa,Watch,Unisex,41.0,5.0,Medium,Plastic,Black,Multicolor,Silicone,Black,1295.0
watch_24,dasadsa,Watch,Unisex,44.0,10.0,Large,Plastic,Black,Black,Silicone,Black,669.0
